Link,Name
http://www.wikidata.org/entity/Q15516109,पोपटराव पवार
http://www.wikidata.org/entity/Q278849,ए के एंटोनी
http://www.wikidata.org/entity/Q113499582,शलभ मणि त्रिपाठी
http://www.wikidata.org/entity/Q8963992,गुलाम मोहम्मद सादिक्
http://www.wikidata.org/entity/Q31333500,राम रती देवी
http://www.wikidata.org/entity/Q15647853,जे. शांता
http://www.wikidata.org/entity/Q12943453,वेंकटेश नारायण तिवारी
http://www.wikidata.org/entity/Q16979837,भारती मोहन आर॰के॰
http://www.wikidata.org/entity/Q31314557,सन्तोष पाण्डेय
http://www.wikidata.org/entity/Q6437486,कृष्णा साही
http://www.wikidata.org/entity/Q64143222,मन्ने श्रीनिवास रेड्डी
http://www.wikidata.org/entity/Q6347764,कैकिला सत्यनारायन
http://www.wikidata.org/entity/Q7396752,शचीन्द्रनाथ बख्शी
http://www.wikidata.org/entity/Q18000973,श्यामदेव राय चौधरी
http://www.wikidata.org/entity/Q7282619,रफ़ी अहमद किदवाई
http://www.wikidata.org/entity/Q31330419,द्वारिका प्रसाद मित्तल
http://www.wikidata.org/entity/Q19542594,कविंदर गुप्ता
http://www.wikidata.org/entity/Q6891853,मुहम्मद असरारुल हक़
http://www.wikidata.org/entity/Q17318844,राजिंदर सिंह स्पैरो
http://www.wikidata.org/entity/Q26763799,सैयद बद्रुदुजा
http://www.wikidata.org/entity/Q16901193,पी॰वी॰ मिधुन रेड्डी
http://www.wikidata.org/entity/Q61103117,हरि सिंह
http://www.wikidata.org/entity/Q5516806,गगनविहारी लालुभाई मेहता
http://www.wikidata.org/entity/Q27736384,बसंत कुमार पांडा
http://www.wikidata.org/entity/Q61102762,नाटुभाई गोमनभाई पटेल
http://www.wikidata.org/entity/Q3501481,किशनजी
http://www.wikidata.org/entity/Q17355671,ओम प्रकाश कोहली
http://www.wikidata.org/entity/Q24578743,शशी भूषण
http://www.wikidata.org/entity/Q16734269,कपिल पाटिल
http://www.wikidata.org/entity/Q6751197,मनोज तिवारी (लोकगायक)
http://www.wikidata.org/entity/Q31335146,मुन्नू सिंह
http://www.wikidata.org/entity/Q31323502,रामसेवक
http://www.wikidata.org/entity/Q31338201,रामदुलारे पांडेय
http://www.wikidata.org/entity/Q3595529,विजयशांति
http://www.wikidata.org/entity/Q20091022,भूषण लाल जांगडे
http://www.wikidata.org/entity/Q7418811,पक्कीरप्पा एस.
http://www.wikidata.org/entity/Q7499421,शिवपाल सिंह यादव
http://www.wikidata.org/entity/Q31313807,अखिलेश कमार सिंह
http://www.wikidata.org/entity/Q5431880,फाली साम नारीमान
http://www.wikidata.org/entity/Q61102788,मुहम्मद असरारुल हक़
http://www.wikidata.org/entity/Q7077154,नवीन जिन्दल
http://www.wikidata.org/entity/Q31330743,बद्री नारायण मिश्र
http://www.wikidata.org/entity/Q64011110,नितीश प्रामाणिक
http://www.wikidata.org/entity/Q83329033,शमशेर सिंह सुरजेवाला
http://www.wikidata.org/entity/Q31314172,प्रदीप कुमार यादव
http://www.wikidata.org/entity/Q464914,गायत्री देवी
http://www.wikidata.org/entity/Q16975137,ए॰अनवर राजा
http://www.wikidata.org/entity/Q1992008,गोविन्दा
http://www.wikidata.org/entity/Q65290028,अजय प्रताप सिंह उर्फ लल्ला भइया
http://www.wikidata.org/entity/Q31330717,बृज बिहारी मिश्र
http://www.wikidata.org/entity/Q19542749,नीरा यादव
http://www.wikidata.org/entity/Q17279178,भंवर लाल शर्मा
http://www.wikidata.org/entity/Q31331481,राम सहाय शर्मा
http://www.wikidata.org/entity/Q31334372,जगन्नाथ राव
http://www.wikidata.org/entity/Q31323669,सदल प्रसाद
http://www.wikidata.org/entity/Q31336315,गंगाराम तालवाड
http://www.wikidata.org/entity/Q31330363,दल बहादुर सिंह
http://www.wikidata.org/entity/Q3520878,शान्ति भूषण
http://www.wikidata.org/entity/Q6323338,के जी अम्बेगाओंकर
http://www.wikidata.org/entity/Q6965799,नरेन्द्र सिंह तोमर
http://www.wikidata.org/entity/Q5607249,शंकरराव चव्हाण
http://www.wikidata.org/entity/Q31332449,गणेश प्रसाद पाण्डेय
http://www.wikidata.org/entity/Q31336662,नरदेव सिंह
http://www.wikidata.org/entity/Q7296806,रवनीत सिंह बिट्टू
http://www.wikidata.org/entity/Q27063477,गोलमा देवी मीणा
http://www.wikidata.org/entity/Q19604969,रवि राणा
http://www.wikidata.org/entity/Q36988287,हमीदा हबीबुल्ला
http://www.wikidata.org/entity/Q17279261,गणपतराव देशमुख
http://www.wikidata.org/entity/Q18210918,विनय प्रभाकर सहस्रबुद्धे
http://www.wikidata.org/entity/Q31333605,लक्ष्मी नारायण बंसल
